Time: 28-01-2022 15:48, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 28-01-2022 15:48, request URL: http://127.0.0.1:8000/favicon.ico, HTTP method: GET
Time: 28-01-2022 15:48, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 28-01-2022 15:50, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 28-01-2022 15:56, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 28-01-2022 16:05, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 28-01-2022 16:05, request URL: http://127.0.0.1:8000/favicon.ico, HTTP method: GET
Time: 28-01-2022 16:05, request URL: http://127.0.0.1:8000/create/, HTTP method: GET
Time: 28-01-2022 16:05, request URL: http://127.0.0.1:8000/create/, HTTP method: POST
Time: 28-01-2022 16:05, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 28-01-2022 16:05, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:07, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:07, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:09, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:09, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:09, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:31, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 28-01-2022 16:31, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:31, request URL: http://127.0.0.1:8000/1/, HTTP method: POST
Time: 28-01-2022 16:34, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 28-01-2022 16:34, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:34, request URL: http://127.0.0.1:8000/1/, HTTP method: POST
Time: 28-01-2022 16:35, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 28-01-2022 16:35, request URL: http://127.0.0.1:8000/favicon.ico, HTTP method: GET
Time: 28-01-2022 16:35, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:35, request URL: http://127.0.0.1:8000/1/, HTTP method: POST
Time: 28-01-2022 16:35, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:36, request URL: http://127.0.0.1:8000/1/, HTTP method: POST
Time: 28-01-2022 16:36, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:36, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 28-01-2022 16:36, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:36, request URL: http://127.0.0.1:8000/1/, HTTP method: POST
Time: 28-01-2022 16:36, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:37, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:39, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:39, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:39, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:39, request URL: http://127.0.0.1:8000/1/, HTTP method: POST
Time: 28-01-2022 16:39, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:39, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:41, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:41, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:41, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:41, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:41, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:42, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:43, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:43, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:43, request URL: http://127.0.0.1:8000/1/, HTTP method: POST
Time: 28-01-2022 16:43, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:45, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:46, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:46, request URL: http://127.0.0.1:8000/1/, HTTP method: POST
Time: 28-01-2022 16:46, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:47, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:47, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:47, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:47, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:47, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:49, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:49, request URL: http://127.0.0.1:8000/favicon.ico, HTTP method: GET
Time: 28-01-2022 16:49, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:50, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:51, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:52, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:52, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 28-01-2022 16:52, request URL: http://127.0.0.1:8000/create/, HTTP method: GET
Time: 28-01-2022 16:52, request URL: http://127.0.0.1:8000/create/, HTTP method: POST
Time: 28-01-2022 16:52, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 28-01-2022 16:52, request URL: http://127.0.0.1:8000/2/, HTTP method: GET
Time: 28-01-2022 16:52, request URL: http://127.0.0.1:8000/2/, HTTP method: POST
Time: 28-01-2022 16:52, request URL: http://127.0.0.1:8000/2/, HTTP method: GET
Time: 28-01-2022 16:52, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 28-01-2022 16:52, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 28-01-2022 16:52, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 28-01-2022 16:52, request URL: http://127.0.0.1:8000/2/, HTTP method: GET
Time: 02-02-2022 14:42, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 02-02-2022 14:42, request URL: http://127.0.0.1:8000/favicon.ico, HTTP method: GET
Time: 02-02-2022 14:42, request URL: http://127.0.0.1:8000/admin/, HTTP method: GET
Time: 02-02-2022 14:42, request URL: http://127.0.0.1:8000/admin/login/?next=/admin/, HTTP method: GET
Time: 02-02-2022 14:43, request URL: http://127.0.0.1:8000/admin/login/?next=/admin/, HTTP method: POST
Time: 02-02-2022 14:43, request URL: http://127.0.0.1:8000/admin/login/?next=/admin/, HTTP method: POST
Time: 02-02-2022 14:43, request URL: http://127.0.0.1:8000/admin/login/?next=/admin/, HTTP method: POST
Time: 02-02-2022 14:43, request URL: http://127.0.0.1:8000/admin/login/?next=/admin/, HTTP method: POST
Time: 02-02-2022 14:43, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 02-02-2022 14:44, request URL: http://127.0.0.1:8000/admin/login/?next=/admin/, HTTP method: POST
Time: 02-02-2022 14:44, request URL: http://127.0.0.1:8000/admin/login/?next=/admin/, HTTP method: POST
Time: 02-02-2022 14:44, request URL: http://127.0.0.1:8000/admin/, HTTP method: GET
Time: 02-02-2022 14:44, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 14:44, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:44, request URL: http://127.0.0.1:8000/admin/, HTTP method: GET
Time: 02-02-2022 14:44, request URL: http://127.0.0.1:8000/admin/, HTTP method: GET
Time: 02-02-2022 14:45, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 14:45, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:45, request URL: http://127.0.0.1:8000/admin/app_news_board/news/2/change/, HTTP method: GET
Time: 02-02-2022 14:45, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:45, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 14:46, request URL: http://127.0.0.1:8000/admin/, HTTP method: GET
Time: 02-02-2022 14:46, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 14:46, request URL: http://127.0.0.1:8000/admin/app_news_board/news/2/change/, HTTP method: GET
Time: 02-02-2022 14:46, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:46, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 14:49, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 14:49, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:50, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 14:50, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:51, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 14:51, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:51, request URL: http://127.0.0.1:8000/admin/app_news_board/, HTTP method: GET
Time: 02-02-2022 14:51, request URL: http://127.0.0.1:8000/admin/, HTTP method: GET
Time: 02-02-2022 14:51, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 14:51, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:51, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 02-02-2022 14:51, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 02-02-2022 14:51, request URL: http://127.0.0.1:8000/favicon.ico, HTTP method: GET
Time: 02-02-2022 14:51, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 02-02-2022 14:51, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 02-02-2022 14:51, request URL: http://127.0.0.1:8000/1/, HTTP method: POST
Time: 02-02-2022 14:51, request URL: http://127.0.0.1:8000/1/, HTTP method: GET
Time: 02-02-2022 14:52, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 14:52, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:56, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 14:56, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:56, request URL: http://127.0.0.1:8000/favicon.ico, HTTP method: GET
Time: 02-02-2022 14:56, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 14:56, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:56, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 14:56, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:56, request URL: http://127.0.0.1:8000/admin/, HTTP method: GET
Time: 02-02-2022 14:56, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 14:56, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:56, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 14:56, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:56, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 14:56, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:59, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 02-02-2022 14:59, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 14:59, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 14:59, request URL: http://127.0.0.1:8000/admin/, HTTP method: GET
Time: 02-02-2022 14:59, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 15:01, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 15:01, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:01, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 15:01, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:01, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 15:01, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:01, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 15:01, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:01, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 15:01, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:01, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 15:02, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 15:02, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:03, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 15:03, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:06, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 15:06, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:09, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 15:09, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:09, request URL: http://127.0.0.1:8000/admin/app_news_board/, HTTP method: GET
Time: 02-02-2022 15:09, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 15:09, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:09, request URL: http://127.0.0.1:8000/admin/app_news_board/, HTTP method: GET
Time: 02-02-2022 15:09, request URL: http://127.0.0.1:8000/, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/app_news_board/news/?is_active__exact=1, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/app_news_board/news/?is_active__exact=0, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/app_news_board/news/?is_active__exact=1, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/app_news_board/, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/app_news_board/, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/?user=unknown, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/?user=unknown2, HTTP method: GET
Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
